problem,method,num_qubits,p,gamma,beta,approx,expectation,best_found_gamma,best_found_beta,best_found_approx,best_found_expectation,additional_info
maxcut,symmetry,16,1,-0.3800313693858621,0.5573793417659312,0.22116568920976074,-15.991712205768163,[-0.3800313693858621],[0.5573793417659312],0.22116568920976074,-15.991712205768163,
maxcut,symmetry,16,2,-0.2280188216315172,1.0640878342804139,0.15366229841220827,-17.215107291913153,"[-1.9254922715550344, -0.2280188216315172]","[2.533542462572414, -1.266771231286207]",0.15366229841220827,-17.215107291913153,
maxcut,symmetry,16,3,-0.12667712312862067,0.9627461357775173,0.13826695092105837,-17.494124275321493,"[-1.9254922715550344, -2.938909256584, 0.0760062738771724]","[2.533542462572414, 1.9254922715550347, -0.9627461357775172]",0.13826695092105837,-17.494124275321493,
maxcut,symmetry,16,4,-0.025335424625724134,-1.0640878342804139,0.13495481805228238,-17.55415158696384,"[-1.9254922715550344, -2.938909256584, 0.10134169850289654, 0.025335424625724134]","[2.533542462572414, 1.9254922715550347, -0.9120752865260688, 1.266771231286207]",0.13495481805228238,-17.55415158696384,
maxcut,symmetry,16,5,-0.025335424625724134,1.469454628292,0.12149750628017121,-17.798044655152037,"[-0.3800313693858621, -0.2280188216315172, -0.12667712312862067, -0.025335424625724134, -0.025335424625724134]","[0.5573793417659312, 1.0640878342804139, 0.9627461357775173, -1.0640878342804139, 1.469454628292]",0.12149750628017121,-17.798044655152037,
maxcut,symmetry,16,6,-0.025335424625724134,1.0640878342804139,0.12117118967853167,-17.803958641431194,"[-0.3800313693858621, -0.2280188216315172, -0.12667712312862067, -0.025335424625724134, -0.025335424625724134, -0.025335424625724134]","[0.5573793417659312, 1.0640878342804139, 0.9627461357775173, -1.0640878342804139, 1.469454628292, 1.0640878342804139]",0.12117118967853167,-17.803958641431194,
maxcut,symmetry,16,7,0.025335424625724134,-0.25335424625724134,0.12144304664990313,-17.799031652149907,"[-0.3800313693858621, -0.2280188216315172, -0.12667712312862067, -0.025335424625724134, -0.025335424625724134, -0.025335424625724134, 0.025335424625724134]","[0.5573793417659312, 1.0640878342804139, 0.9627461357775173, -1.0640878342804139, 1.469454628292, 1.0640878342804139, -0.25335424625724134]",0.12144304664990313,-17.799031652149907,
vertcover,linear_ramp_neg_mixer,16,1,-0.3,0.0857142857142857,0.2788889900981846,119.40044322408609,[0.8614044372746208],[1.1147586835318624],0.019247529514102395,17.55027388879769,
vertcover,linear_ramp_neg_mixer,16,2,-0.2571428571428572,0.1714285714285714,0.22701503288849487,99.05172343945279,"[-0.3, -0.6587210402688276]","[0.0857142857142857, -1.9254922715550344]",0.06557024511735404,35.72139500962392,
vertcover,linear_ramp_neg_mixer,16,3,-0.21428571428571427,0.2571428571428571,0.24119114342547884,104.61261982117689,"[-0.3, -0.2571428571428572, 0.7600627387717243]","[0.0857142857142857, 0.1714285714285714, 2.330859065566621]",0.0734167789412412,38.7993733758686,
