problem,method,num_qubits,p,gamma,beta,approx,expectation,best_found_gamma,best_found_beta,best_found_approx,best_found_expectation,additional_info
maxcut,sequential,10,1,-0.3293605201344138,0.5573793417659312,0.25624962547464836,-9.812967517853068,[-0.3293605201344138],[0.5573793417659312],0.25624962547464836,-9.812967517853068,graph123456_32x32scan_10qubits_p1to7_maxcut_symmetry
maxcut,sequential,10,2,-0.2280188216315172,1.0640878342804139,0.19375995052298756,-10.590165234731096,"[-0.3293605201344138, -0.2280188216315172]","[0.5573793417659312, 1.0640878342804139]",0.19375995052298756,-10.590165234731096,graph123456_32x32scan_10qubits_p1to7_maxcut_symmetry
maxcut,sequential,10,3,-0.17734797238006894,0.9627461357775173,0.1615370065412542,-10.990929017116976,"[-0.3293605201344138, -0.2280188216315172, -0.17734797238006894]","[0.5573793417659312, 1.0640878342804139, 0.9627461357775173]",0.1615370065412542,-10.990929017116976,graph123456_32x32scan_10qubits_p1to7_maxcut_symmetry
maxcut,sequential,10,4,-0.0760062738771724,-0.9627461357775172,0.15062142891165656,-11.12668843687217,"[-0.3293605201344138, -0.2280188216315172, -0.17734797238006894, -0.0760062738771724]","[0.5573793417659312, 1.0640878342804139, 0.9627461357775173, -0.9627461357775172]",0.15062142891165656,-11.12668843687217,graph123456_32x32scan_10qubits_p1to7_maxcut_symmetry
maxcut,sequential,10,5,-0.025335424625724134,0.8614044372746208,0.14955877309487373,-11.139904919039338,"[-0.3293605201344138, -0.2280188216315172, -0.17734797238006894, -0.0760062738771724, -0.025335424625724134]","[0.5573793417659312, 1.0640878342804139, 0.9627461357775173, -0.9627461357775172, 0.8614044372746208]",0.14955877309487373,-11.139904919039338,graph123456_32x32scan_10qubits_p1to7_maxcut_symmetry
maxcut,sequential,10,6,-0.025335424625724134,-1.0640878342804139,0.14753809556324177,-11.16503652622638,"[-0.3293605201344138, -0.2280188216315172, -0.17734797238006894, -0.0760062738771724, -0.025335424625724134, -0.025335424625724134]","[0.5573793417659312, 1.0640878342804139, 0.9627461357775173, -0.9627461357775172, 0.8614044372746208, -1.0640878342804139]",0.14753809556324177,-11.16503652622638,graph123456_32x32scan_10qubits_p1to7_maxcut_symmetry
maxcut,sequential,10,7,-0.025335424625724134,0.8614044372746208,0.14660559450288982,-11.176634245300011,"[-0.3293605201344138, -0.2280188216315172, -0.17734797238006894, -0.0760062738771724, -0.025335424625724134, -0.025335424625724134, -0.025335424625724134]","[0.5573793417659312, 1.0640878342804139, 0.9627461357775173, -0.9627461357775172, 0.8614044372746208, -1.0640878342804139, 0.8614044372746208]",0.14660559450288982,-11.176634245300011,graph123456_32x32scan_10qubits_p1to7_maxcut_symmetry
maxcut,sequential,12,1,-0.3800313693858621,0.5573793417659312,0.2493590053336079,-12.280744308285819,[-0.3800313693858621],[0.5573793417659312],0.2493590053336079,-12.280744308285819,graph123456_32x32scan_12qubits_p1to7_maxcut_symmetry
maxcut,sequential,12,2,-0.2280188216315172,0.8614044372746208,0.19996424056247739,-13.017480323775331,"[-0.3800313693858621, -0.2280188216315172]","[0.5573793417659312, 0.8614044372746208]",0.19996424056247739,-13.017480323775331,graph123456_32x32scan_12qubits_p1to7_maxcut_symmetry
maxcut,sequential,12,3,-0.17734797238006894,1.0640878342804139,0.16318362718345109,-13.566072926122567,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894]","[0.5573793417659312, 0.8614044372746208, 1.0640878342804139]",0.16318362718345109,-13.566072926122567,graph123456_32x32scan_12qubits_p1to7_maxcut_symmetry
maxcut,sequential,12,4,-0.025335424625724134,0.9627461357775173,0.16032053484848208,-13.608776707558054,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894, -0.025335424625724134]","[0.5573793417659312, 0.8614044372746208, 1.0640878342804139, 0.9627461357775173]",0.16032053484848208,-13.608776707558054,graph123456_32x32scan_12qubits_p1to7_maxcut_symmetry
maxcut,sequential,12,5,0.025335424625724134,1.266771231286207,0.15943079257728413,-13.622047449482471,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894, -0.025335424625724134, 0.025335424625724134]","[0.5573793417659312, 0.8614044372746208, 1.0640878342804139, 0.9627461357775173, 1.266771231286207]",0.15943079257728413,-13.622047449482471,graph123456_32x32scan_12qubits_p1to7_maxcut_symmetry
maxcut,sequential,12,6,0.025335424625724134,1.5707963267948966,0.15902533749262376,-13.628094919592243,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894, -0.025335424625724134, 0.025335424625724134, 0.025335424625724134]","[0.5573793417659312, 0.8614044372746208, 1.0640878342804139, 0.9627461357775173, 1.266771231286207, 1.5707963267948966]",0.15902533749262376,-13.628094919592243,graph123456_32x32scan_12qubits_p1to7_maxcut_symmetry
maxcut,sequential,12,7,0.025335424625724134,1.0640878342804139,0.15882437939147,-13.631092262962747,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894, -0.025335424625724134, 0.025335424625724134, 0.025335424625724134, 0.025335424625724134]","[0.5573793417659312, 0.8614044372746208, 1.0640878342804139, 0.9627461357775173, 1.266771231286207, 1.5707963267948966, 1.0640878342804139]",0.15882437939147,-13.631092262962747,graph123456_32x32scan_12qubits_p1to7_maxcut_symmetry
maxcut,sequential,14,1,-0.3800313693858621,0.5573793417659312,0.2726428608070176,-14.207968295516913,[-0.3800313693858621],[0.5573793417659312],0.2726428608070176,-14.207968295516913,graph123456_32x32scan_14qubits_p1to7_maxcut_symmetry
maxcut,sequential,14,2,-0.2280188216315172,0.8614044372746208,0.22392267087711734,-15.064285215393182,"[-0.3800313693858621, -0.2280188216315172]","[0.5573793417659312, 0.8614044372746208]",0.22392267087711734,-15.064285215393182,graph123456_32x32scan_14qubits_p1to7_maxcut_symmetry
maxcut,sequential,14,3,-0.17734797238006894,1.1654295327833104,0.19165595322633147,-15.631412238358275,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894]","[0.5573793417659312, 0.8614044372746208, 1.1654295327833104]",0.19165595322633147,-15.631412238358275,graph123456_32x32scan_14qubits_p1to7_maxcut_symmetry
maxcut,sequential,14,4,-0.025335424625724134,1.1654295327833104,0.18856033677484546,-15.685821483245638,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894, -0.025335424625724134]","[0.5573793417659312, 0.8614044372746208, 1.1654295327833104, 1.1654295327833104]",0.18856033677484546,-15.685821483245638,graph123456_32x32scan_14qubits_p1to7_maxcut_symmetry
maxcut,sequential,14,5,0.025335424625724134,1.0640878342804139,0.18747663309123494,-15.704868900789435,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894, -0.025335424625724134, 0.025335424625724134]","[0.5573793417659312, 0.8614044372746208, 1.1654295327833104, 1.1654295327833104, 1.0640878342804139]",0.18747663309123494,-15.704868900789435,graph123456_32x32scan_14qubits_p1to7_maxcut_symmetry
maxcut,sequential,14,6,-0.025335424625724134,-1.1654295327833104,0.18701999624905202,-15.712894851730159,"[-0.3800313693858621, -0.2280188216315172, -0.17734797238006894, -0.025335424625724134, 0.025335424625724134, -0.025335424625724134]","[0.5573793417659312, 0.8614044372746208, 1.1654295327833104, 1.1654295327833104, 1.0640878342804139, -1.1654295327833104]",0.18701999624905202,-15.712894851730159,graph123456_32x32scan_14qubits_p1to7_maxcut_symmetry
